black	blue	brown	cyan	darkgreen	darkgrey	darkorange	darkred	darkturquoise	green	greenyellow	grey60	lightcyan	lightgreen	lightyellow	magenta	midnightblue	orange	pink	purple	red	royalblue	salmon	tan	turquoise	yellow
SLC38A4	TMEM38A	CAPZB	COPG1						EZH2	Metazoa_SRP					DOK3			FAU	ATG3	FAM188A		SF3B5	ZDHHC12	NDE1	SLC7A5
SYT16	SCARB1	FGFR1	LSM10						CHCHD3	Metazoa_SRP					ATP6V1B2			C12orf45	SRPRB	N6AMT2		ADPRM	MED27	IKBKG	UBE2I
SERPINA10	LLGL2	FBLN1	PYCR1						PSMA2	Metazoa_SRP					DOK2			ATP5G3	LYAR	SLC2A13		CRTAP	C9orf64	C17orf85	USP31
ADCYAP1	GSDMB	AMPH	SEP15						YKT6	Metazoa_SRP					FCGR1A			MKI67IP	NDUFS6	NADKD1		STX8	HNRNPK	SLC24A1	AQP9
MAPK4	MAP3K13	FAP	SF3A3						TBL2	Metazoa_SRP					CD226			C14orf2	CCT6A	BANK1		MANEA	STRBP	ZZEF1	FAH
CACNA1A	FRY	ADCYAP1R1	UTP11L						GTPBP4	Metazoa_SRP					RGS18			UQCRB	EIF3M	TXNDC11		SMPDL3A	GAPVD1	ANO8	EHD4
RXRG	CDHR2	FKBP7	COPB2						UBE2S	Metazoa_SRP					PTPRO			RPL30	CCT5	FAM69A		FAM174A	VCP	ARHGEF10L	EYA1
SYT14	ATP2A3	OSBPL6	FAF1						UTP6	Metazoa_SRP					FLI1			EEF1A1	DLAT	PLCL2		NT5DC1	QSOX2	TXK	NDRG1
MEIS1	MGLL	MID2	PTMA						AREG	Metazoa_SRP					LY96			RPL8	ANAPC1	RAB39B		ZBTB2	PMPCA	ZNF638	GYS1
SLC4A10	TTC38	COL5A3	NOC2L						GAR1	Metazoa_SRP					SAMSN1			EIF4A1	VBP1	MS4A1		GTF2H5	SDCCAG3	VPS9D1	KLC3
MARCH4	GRAMD4	CHRNA3	YRDC						DHX15	Metazoa_SRP					VSIG4			RPL26	CCT8	TSPAN33		KATNA1	ZMYND19	WDR62	IL4I1
TAGLN3	PLD1	MEF2C	TAF13						NEIL3	Metazoa_SRP					SLA			RPL29	MRPL17	HENMT1		NAP1L1	GOLGA2	SEC31B	TNNT1
STXBP5L	PLXNA2	C1QTNF3	ATAD3A						NCAPG	Metazoa_SRP					NCF1			SUCLG1	MRPL10	GFI1		TSPYL1	TRUB2	BAZ2A	PLIN3
VWA5B2	TPD52	SEMA5B	C1orf122						MAGOHB	Metazoa_SRP					SLAMF8			SNHG16	NAE1	SLAMF6		HDAC2	URM1	PTPN23	MIER2
GC	ACACB	ITGB5	SDAD1						FOXM1	Metazoa_SRP					FCER1G			RPL9	CCDC58	SGCB		RPF2	DOLPP1	RGS11	CDK6
GLRA3	MBNL3	ULK2	YTHDF2						RAD51AP1	Metazoa_SRP					C1QC			UQCRQ	C2orf47	CTSS		NKIRAS1	ENDOG	LRCH4	NAMPT
FAM159B	CAMSAP3	PLOD1	KTI12						LTBR	Metazoa_SRP					GAB3			RPS14	GMPS	EIF4E3		TTC37	ZBTB43	FAM76B	MET
CPLX2	RAP1GAP	EPYC	NRAS						RFC5	Metazoa_SRP					ITGB2			STOML2	WDR43	CLASP2		SFT2D1	C11orf24	PIAS2	DNAJB6
SLC17A4	STXBP2	SSH1	ALG3						NUP107	Metazoa_SRP					AMICA1			RPL27A	NDUFAF2	PRKCI		UBE2J1	DOLK	ADCY2	SNX8
HMGCLL1	TM9SF3	COL16A1	TMEM167B						TIMELESS	Metazoa_SRP					CCR5			CRK	NDUFS4	SNRK		RMRP	SWI5	MLLT10	BLVRA
CXorf57	CAPN6	MAP3K4	MRPL20						MRPL51	Metazoa_SRP					LAPTM5			ATP5L	GRPEL2	FAM208A		SNHG5	SSNA1	CBFA2T2	LIMK1
ST18	PHF17	PPEF1	TTC4						GAPDH	Metazoa_SRP					TNFAIP8L2			RPL13	UTP15	PGRMC2		PPP1CB	CDC26	PKD2L2	DKK1
FAM135B	NEBL	NOX4	DDOST						NOP2	Metazoa_SRP					ARHGAP25			EEF2	DDX21	LMBRD2		TMEM242	MAN1B1	MYH7B	WNT3
LPPR1	FGF20	HSD17B14							COPS7A	Metazoa_SRP					KBTBD8			TSR1	PSMC3	GALNT10		FNIP1	RMI1	MKNK1	RAD51C
CACNA1B	TOLLIP	ADAMTS2							CDCA3	Metazoa_SRP					MNDA			RPSA	CCT2	PEX2		EEF1A1P24	MRPL41	RAPGEF3	TRIM37
INA	CDH17	MMP2							USP5	Metazoa_SRP					CD200R1			ATP5I	PHB	TP53INP1		EEF1A1P6	ZBTB6	OPHN1	DHX40
GAS2	REXO1	NID2							TPI1	Metazoa_SRP					CCR1			SLC25A6	ICT1	MOAP1		PITPNA-AS1	TMEM203	RABL2B	CBX1
NCAM1	CEACAM1	C3orf18							FBXO5	Metazoa_SRP					TAGAP			HINT1	MMADHC	C10orf32		MBLAC2	TUBB4B	SRCAP	DDX5
CDH22	LIPE	ARHGAP28							FANCE	Metazoa_SRP					CYBB			RPS9	USP39	MAPRE2			PTAR1	KCNN2	CCL8
CNTN5	FDFT1	CPXM1							MCM3	Metazoa_SRP					NCF1C			TMEM126A	RNF181	HDHD2			COBRA1	CNOT4	SMURF2
GPM6A	LRRC16A	GLG1							TTK	Metazoa_SRP					FOLR2			RSL1D1	NMD3	JSRP1			TDRD7	MOK	PRKAR1A
KCNA6	DNM2	PLEKHG2							KIF20A	Metazoa_SRP					MS4A7			RPS21	CNBP	HIST1H2BI			IARS	DLGAP4	PANX1
TMEM132D	PTPRH	OSBPL8							LMNB1	Metazoa_SRP					GNGT2			RPS7	GPS1	SMIM4			WDR5	CROCCP3	BIRC2
ASTN1	SCTR	LAMB1							NUP155	RN7SL2					SNX20			MYEOV2	PA2G4	PCMTD1			RABL6	COL4A4	PVRL1
G6PC2	SLC4A4	ZFHX4							SMC4	Metazoa_SRP					DPEP2			RPL38	HSPA4	AXIN2			NOL8	ZNF506	KIAA1549L
GRIA4	IGSF9B	RGS17							ECT2	Metazoa_SRP					LAIR1			ZNF622	MINA	CCDC126			ENTPD7	MPP4	COMMD9
SLC16A12	MAGI3	ANGPT2							DGUOK	Metazoa_SRP					CD300C			UQCRH	MRPL36	BTD			C9orf114	CCNT2	SLC35F2
RAB3C	AACS	CD200							CENPA	Metazoa_SRP					SIGLEC7			USMG5	TBCA	MZB1			FANCG	TRAF5	GNPTAB
SCN3A	CADPS2	CCDC80							SRSF4	Metazoa_SRP					RNASE6			RPL4	HDAC3	NAT1			RP11-545E17.3	OPRK1	SLCO1B3
KCNJ16	ATP8B1	SORBS1							RNF19B	Metazoa_SRP					CD52			RPL15	RNASEH1	PTGER4			C9orf69	TRPM3	GOLT1B
CHST9	FAM135A	IL11							SRM	Metazoa_SRP					GPR183			NDUFA11	CKS1B	FRMD3			ISY1	PIBF1	ULBP1
ABCA10	DLG3	ABL1							MAD2L2	Metazoa_SRP					ITGAM			C19orf70	MRPL45	TCEAL1			GNG10	SLC27A5	PERP
TSPAN7	GCKR	NRP1							CDC20	Metazoa_SRP					CD14			C17orf76-AS1	MRPL11	RASGRP1				SLCO1A2	MDFI
SST	MECOM	PALMD							STMN1	Metazoa_SRP					GPR34			EIF3F	SRP72	B3GNT1				BCORL1	PFDN1
GHRL	PREP	MYO9B							NEK2	Metazoa_SRP					C3AR1			TOMM5	YIF1A	LCORL				ZNF213	FAF2
KCNJ6	OVGP1	GADD45B							CENPF	Metazoa_SRP					CLEC7A			COX8A	MRPS22	LINC00324				CHERP	C5orf15
NPM2	IGSF9	PALM							KIF14	Metazoa_SRP					CLEC12A			TIMM22	RUVBL1	BHLHA15				USP40	HMGXB3
GJD2	TTC39A	KLHL22							PHF19	Metazoa_SRP					KLHL6			ZNFX1-AS1	KCMF1	PCGF5				MAST2	STC2
CELF3	MGST2	MMP11							CENPL	Metazoa_SRP					C1QB			RPLP2	C2orf69	TMEM64				AQP6	DBN1
SPTBN4	CEACAM6	GGT5							NUDCD1	Metazoa_SRP					C1QA			RPS27	MRPS23	C3orf58				PGS1	AMOTL2
CHRNB2	HSD17B2	SPECC1L							MASTL	Metazoa_SRP					LRRC33			COX5A	COA4	WRB				UIMC1	ARMC8
ELAVL4	ACHE	PPM1F							CCDC77	Metazoa_SRP					TLR1			NPM1	RUVBL2	FAM46C				SH3BP2	FXR1
WNT4	GNA11	LGALS1							TARDBP	Metazoa_SRP					CMKLR1			PRKAG1	ALYREF	ST6GALNAC3				SULT2B1	GBE1
B3GALT2	EPB41L1	TIMP3							COPS5	Metazoa_SRP					EMR1			RPS17L	APOO	MUC6				CNOT3	PLXNA1
NEUROD1	PPP1R13B	CYB5R3							NCAPH						LRRC25			RPL35A	PSMD13	ARL15				FER1L4	LMAN2L
CRYBA2	SLC4A11	NEFH							MND1						GAPT			LSMD1	PPIA	FAM69C				ANKRD10	TTL
NFASC	PROSAPIP1	PDGFB							KIF18A						CD163			MRPL54	NIF3L1	TMEM220				DOCK3	IL1A
CADPS	TESC	RBFOX2							GPSM2						CD28			RPS17	GPN1	FAM122A				DZANK1	MPV17
BSN	FXYD3	MYH9							CBX3						HCLS1			PTRHD1	MRPL38	ASAH2				KDM2B	NRBP1
GPR98	GMIP	KIAA0930							FTSJ2						P2RY13			NDUFA13	LSM2	FAM53B				NOS1	RTN4
SLC29A4	SLC9A1	NIN							ZWINT						NCF1B			RPS23	IPO7	CXCL17				FUS	HTRA2
ADCY1	PCBP4	RIN3							DDX39A						CSF1R			COMMD6	NME1	PAX5				RBM41	CCDC88A
SLC30A8	LYZ	KIAA0247							CENPK						SLC8A1			RPL14	MRPL12	TPK1				ZBTB25	STK25
DIRAS2	SI	PCNX							CDK2						ADAP2			NDUFA4		TLE1				GPATCH2L	SDC1
PHYHIPL	FCGBP	EFS							TUBA1B						IKZF1			NACA		HIST1H2BH				LTBP4	KYNU
TMEM63C	SLC26A3	SEC23A							STIL						EVI2B			TOMM7		HIST1H4E				CCNK	RND3
OTOGL	ABCC6	DOK5							HJURP						CD300LF			RPL37A		ZNF627				FLT3LG	PHF13
SVOP	SEL1L3	NKAIN4							EXOSC9						ARHGAP30			RPL12		TOX				RAB11FIP3	ERRFI1
GABRB3	RFFL	ISM1							CKS2						LILRB4			RPS4X		PKHD1L1				TNRC6A	MAP7D1
SCN3B	XYLB	RASSF2							CSE1L						GPR141			RPL23A		TRIQK				PITPNM2	SLC2A1
SCG5	EPB41L4B	MYL9							HIST1H4B						FPR3			UBL5		IGKC				DTX2	F3
NYAP1	SEMA4G	SYNDIG1							HIST1H2BJ						SIRPB2			ASNA1		IGKV4-1				LAMB4	CTSD
KIF5C	BLNK	SMAD7							HIST1H3B						TLR7			RPL10A		IGKV6-21				TF	MMP8
CXXC4	C19orf77	MXRA5							C17orf53						HLA-DQA1			RPL39		IGKV3D-20				MYO15A	CAMSAP2
FSTL5	ITPR3	SRPX							IL1B						C5AR1			GNB2L1		IGKV1D-13				NLRP1	RAB32
CTNND2	SYDE2	ATP11C							C20orf72						SPN			MRPL53		IGLV4-69				ORC6	PPL
MYRIP	SCD	PLS3							MCM8						MPEG1			NDUFS3		IGLV8-61				OSGEP	ITGB1BP1
NSG2	ABLIM1	SMARCA1							XRCC3						PDCD1LG2			RPS29		IGLV6-57				SEMA6A	SENP5
SERPINA6	TSPAN15	CD99L2							BCL2L12						FAM49A			RPL21P28		IGLV1-51				CAPN3	CTNNAL1
IRX2	OCEL1	EEA1							EMG1						FCGR1B			TOMM6		IGLV1-47				XXbac-B461K10.4	CSF3R
PKHD1	EFNA2	USP11							DLGAP5						CSF2RA			RP11-572P18.1		IGLV7-46				HOOK2	IFI27L2
KCNG3	C19orf21	KLHL4							AUNIP						CR1			UBA52		IGLV5-45				DFNB31	DUSP1
KCNK3	CDHR5	FGD1							EMC1						FCGR3A			CTD-2119F7.2		IGLV1-44				BTAF1	MTHFD1L
MAP6	RASSF7	SRPX2							PKMYT1						C10orf128			AC107983.4		IGLV7-43				BRPF3	SPOP
ECEL1	SLC7A4	DRP2							TUBBP1						HLA-DOA			RP11-742N3.1		IGLV1-40				EFHC1	GJB6
DSCAM	CARD10	HTR2A							SHFM1						HLA-DRA			OST4		IGLV1-36				HSD17B7P2	FYTTD1
PAH	LGALS2	FLT1							C15orf23						AIF1			RPL41		IGLV3-27				MZF1	P4HA1
ZNF540	PATZ1	KATNAL1							E2F8						LST1			RP4-696P19.2		IGLV3-25				CATSPERG	METTL8
SCG2	SLC5A1	MEDAG							FAM64A						DENND1C			RPS18		IGLV2-23				STX1B	G0S2
ADCY5	CBX7	TMCO7							SGOL1						IFI30			MCTS1		IGLV3-21				SETD1A	RAP2C
ZNF483	SGSM3	HCFC1R1							LSM4						HLA-DPB1			LINC00493		IGLV3-19				PCDH11Y	RAB38
INSM1	KCNK10	CRISPLD2							CEP85						HLA-DPA1			GAS5		IGLV2-18				ARVCF	WDR69
KCNH6	KHNYN	PIEZO1							DNMT1						NFAM1			RP11-3P17.3		IGLV2-14				CECR2	CHPF
C1orf127	SPTLC2	RASL12							GINS2						PLEKHO2			RPL24P2		IGLV2-11				UPB1	SLPI
PCSK1	ITPK1	IGDCC4							TUBG1						HLA-DMB			RPL36A		IGLV3-10				YPEL1	TTPAL
RIMS2	GSKIP	CD276							PSMC3IP						PCED1B-AS1			ATP5O		IGLV3-9				TOP3B	NCOA3
MIR7-3HG	C14orf93	SLC30A4							TOP2A						RP11-792D21.2			C2orf15		IGLV2-8				CRYBB2P1	LYPD3
DSCAML1	PCK2	PDGFRL							SNRPA1						RP11-145M9.4			RP11-397E7.1		IGLV3-1				LRP5L	TREM1
ST8SIA3	DCAF11	WISP1							FBXW9									EEF1G		IGLC1				GGA1	CDKN1A
MBOAT4	SGK2	TRPS1							ARFIP2									RPL17		IGLC2				HPS4	EREG
AC140481.1	HNF4A	MTMR9							FIGNL1											IGLC3				DEPDC5	MT2A
FAM123C	SLC17A9	ARHGEF10							UTP3											IGHA2				TPTEP1	SLC2A4RG
UCN3	PTK6	BNIP3L							PCNA											IGHG4				CYP2D6	INSIG2
CSRNP3	PLCB4	OLFM2							RFC3											IGHG2				DDX17	CD70
SERTM1	C20orf118	SYDE1							CCNB1											IGHA1				DMC1	PANK2
SSTR2	ACOT8	NUMBL							PSRC1											IGHG1				MIOX	CHURC1-FNTB
MAP3K15	LPIN2	CLIP3							CDCA8											IGHG3				CHKB	RBM42
TMEM132C	MYOM1	TGFB1							TROAP											IGHD				RASD2	FRMD8
KCNIP1	RNF125	MEIS3							ESPL1											IGHM				PNPLA3	RRAS
KCNB2	VSIG1	CLEC11A							MPHOSPH6											IGHV6-1				IFT27	RHOT1
MAFA	MTMR8	HAS1							CKAP2											IGHV1-2				FAM118A	EDN2
PLCXD3	SYTL4	LPPR2							BORA											IGHV1-3				EP300	A4GALT
RGS7	KLF5	COMP							TBRG4											IGHV4-4				TRMU	TPST2
PCP4	PARP4	DLX5							SRSF1											IGHV2-5				BRD1	RAC2
CSMD1	OLFM4	DFNA5							BRIP1											IGHV3-7				HDAC10	KRT17
PTGDR2	MSLN	CAV2							SMPD4											IGHV1-8				SDR39U1	STRIP2
SSTR3	MAPK3	CAV1							SMC2											IGHV3-11				SRSF5	MYO1B
KCTD16	GDPD3	WNT2							DSCC1											IGHV3-13				ACIN1	AJUBA
RALYL	ELMO3	FKBP14							DERL1											IGHV3-15				PABPN1	SEC14L1
TCEAL2	PLLP	NOD1							HIST1H2AB											IGHV1-18				REC8	RHBDF2
RFX6	PARD6A	PCOLCE							TCF19											IGHV3-20				PNN	ATP8B3
ANKS1B	MMP15	SERPINE1							NUSAP1											IGHV3-21				PCIF1	GLT25D1
DLK1	SMPD3	MEOX2							KIF23											IGHV3-23				ZMYND8	ATXN10
NAT8L	ESRP2	RARRES2							CASC5											IGHV1-24				PABPC1L	ULBP2
RTN4RL1	FA2H	GLI3							CENPO											IGHV2-26				SALL4	MGAT1
LINC00643	RHBDL1	AEBP1							KIF11											IGHV4-28				EPPIN	TNS4
NAP1L2	CRYM	SPIN1							CEP55											IGHV3-30				ZNF516	STARD3
EMID1	SOLH	TGFBR1							KIF20B											IGHV3-33				RBFA	LLGL1
C1orf168	PRSS33	ASPN							DNA2											IGHV4-34				POLI	PTPRE
PTPRT	BFAR	ECM2							CENPE											IGHV4-39				RP3-324O17.4	ANKRD32
MYT1	TOX3	KIAA1432							YARS2											IGHV1-46				ALG13	ARNTL
ESRRG	TMC5	NCS1							NDUFA9											IGHV3-48				CACNA1F	AMPD3
SLC6A17	JPH1	MPDZ							BRCA2											IGHV3-49				ZC3H12B	RRAS2
OGDHL	DKK4	GATA3							DIAPH3											IGHV5-51				KCND1	DPF2
KCNMB2	ESRP1	CXCL12							WARS											IGHV3-53				TAZ	MBD2
LRRTM3	IL7	UNC5B							FANCI											IGHV1-58				PCYT1B	SPIRE1
RP11-3N2.13	TSTA3	ACTA2							TICRR											IGHV4-61				GABRE	SLC38A2
C4B	ANXA13	SH3PXD2A							CIRH1A											IGHV3-66				PCDH11X	LDHA
AC013275.2	SH2D4A	MAP3K8							WRAP53											IGHV1-69				KLF8	FST
PTENP1	GSR	EBF3							PLK4											IGHV2-70				UGGT2	SLCO1B1
C4A	PPP1R37	CCL2							KIF2C											IGHV3-73				ARHGEF7	ACP2
LINC00617	PLEKHJ1	COL1A1							NUF2											TMEM110				FAM48A	DSG3
RP11-728F11.1	TLE6	VAT1							DTL											AC006465.3				DGKH	DSC3
LRRC24	VRK3	MPP2							FANCD2											IGHV3-64				MGRN1	SLC43A3
RP11-728F11.4	TJP3	EFNB3							CCNA2											IGKV3D-15				HSF4	ANXA1
INS	BBC3	FAM20A							SKP2											IGHV4-59				CENPT	TES
PCDHA3	MYH14	MMD							FAM54A											IGHV3-74				NFAT5	NT5E
RMST	CEACAM5	PMP22							CDCA5											IGKV6D-21				CCL22	USP15
RP11-2E17.1	RAB3D	RAB34							NCAPG2											IGHV3-72				USB1	USP37
CTD-2314G24.2	FAM83E	CPZ							GINS4											FGD5-AS1				WDR59	CAB39
RP11-355I22.7	PDE4C	SLC2A9							HAUS6											IGHV4-31				NPRL3	KIAA1033
RP11-526J3.3	LSR	NKX3-2							PDSS1											AC096579.7				TAF1C	SCEL
TMEM178B	SIPA1L3	BST1							MKI67											IGHV3-43				WFDC1	SCRN1
SSTR5-AS1	ETHE1	KLHL5							INCENP											IGKV1-6				TSC2	IL6
MIR5196	AVL9	CRYAB							CHEK1											IGKV3-20				ZNF500	CCM2
	ADAP1	ARHGEF17							DSN1											IGKV1-17				LMF1	MARCH7
	RNF32	CD81							NCAPD3											IGKV1-8				NARFL	IL1RN
	LFNG	LEPREL2							MLF1IP											IGKV1D-12				MTHFSD	SAP130
	IQCE	PPFIBP1							SUV39H2											IGKV1-16				RRN3P2	CTSL2
	TSPAN12	CORO1C							CENPH											HLA-DOB				SYT17	PIM1
	EVX1	KCTD10							FAM49B											IGKV1D-16				HERC1	NRM
	CHN2	ACSS3							SKA1											IGKV2-24				TRIP4	FGFBP1
	COBL	ELK3							EME1											IGKV3-11				RPAP1	RNF121
	CCL24	STX2							NUP205											IGKV1-9				CEP152	DCUN1D5
	CYP3A5	ST8SIA1							ATAD2											IGKV1-33				BLOC1S6	RDX
	ZKSCAN1	COL12A1							SASS6											AMACR				MYEF2	MMP13
	WASL	DSE							MALSU1											IGKV1-39				IKBKB	ADAM10
	AGFG2	KCTD20							BUB1B											IGKV1D-17				STK3	BCAR3
	C1GALT1	MDGA1							CCNB2											IGKV2-30				UBR5	CLCA2
	CLDN15	BACH2							PSMG3											IGKV2D-29				ERICH1	MYOF
	TSPAN13	CAP2							HIST1H2BD											IGKV1-12				KLHDC4	GPR87
	AGR2	BAG2							CDC25C											IGKV1-5				KCNA7	SMARCAL1
	TMEM176B	RAB23							HIST1H4H											IGKV2-28				SNRNP70	TMOD3
	CLIP2	BVES							MIS18A											IGKV3-15				CLASRP	SEMA7A
	SLC1A1	WASF1							DONSON											IGKV1-27				DOT1L	ALG10
	CORO2A	EYA4							CHAF1B											KB-431C1.4				DMPK	AEBP2
	CA9	PDE10A							RECQL4											USP46-AS1				TBC1D17	PHLDA1
	PIP5K1B	PRPH2							PSMC2											SEPP1				CCDC130	TMTC3
	NPDC1	PTK7							SRSF2											IGKV1D-39				NOVA2	NEDD1
	HPS1	LAMA4							RACGAP1											RP11-731F5.2				KIR3DX1	GPR84
	PHYH	PCDHB2							SPC24											IGHGP				C19orf44	CERS5
	DNMBP	SEMA5A							SNRNP25											IGLV1-41				ZNF419	UBE2Q2
	SEC23IP	LOX							C16orf59											IGLL5				APLP1	BCL2A1
	ATE1	SPARC							CCNF											HIST1H3G				DENND3	RHCG
	NSMCE4A	PCDHB7							C1orf74											HIST1H3F				CRX	GCSH
	MICU1	RASGRF2							CCDC138											IGHV4OR15-8				CYTH2	KIAA1609
	TLX1	PCDH12							MRPS18C											CCPG1				CARD8	SLC39A6
	KAZALD1	FGF1							KIAA1524											SNORA59B				PLA2G4C	ARHGDIA
	CPEB3	NR3C1							SGOL2															MAST1	SLC16A3
	ACBD5	DPYSL3							TOPBP1															CRTC1	ZNF750
	LARP4B	PDGFRB							KIF15															WBP7	LEPREL4
	NEURL	BCHE							RFC4															HAMP	SH3GL1
	XPNPEP1	WNT5A							H2AFZ															PBX4	SIK1
	CCDC6	COL7A1							CDC25A															GRIK5	ARHGEF19
	PBLD	GNAI2							POC1A															ZNF85	CRABP2
	CYP2C18	ADAM23							HMGB2															C7orf63	ABL2
	DHRS11	LOXL3							MAD2L1															RASA4	ADAMTSL4
	RAPGEFL1	EFEMP1							NAA15															HOXA1	S100A8
	RNF43	FN1							PTTG1															HOXA2	GALNT2
	CPD	IGFBP5							RAD21															HOXA6	RALB
	HNF1B	EFHD1							HEATR2															VIPR2	SLC20A1
	ABCC3	IL1R1							DCAF13															STX1A	KIAA1715
	MAP2K6	PRKD3							PIGA															FAM188B	ABCA12
	SLC9A3R1	PLCL1							ZNF367															NSUN5P2	OSBPL11
	TMEM97	PRRX1							MELK															MOGAT3	OSMR
	CDR2L	GPX7							SKA3															ZNF862	PLK2
	ODAM	S100PBP							C11orf82															ACTR3C	RASA1
	KIAA1211	OLFML3							LRR1															POU6F2	TPBG
	WFS1	PLEKHM2							E2F7															COA1	GNA12
	ANXA10	NID1							CENPN															SPATA6L	EGFR
	CLCN3	AKT3							MCM7															KDM4C	TLK2
	GALNT7	ST6GALNAC5							SAAL1															CUBN	CHST7
	SEPSECS	LPHN2							KIAA0101															TRDMT1	ZNF185
	TRIM2	MFAP2							PLK1															CDH23	CETN2
	STIM2	RGS4							DUS2L															ANKRD26	RGS20
	KLF3	ID3							RRM1															ZMIZ1	GOLGA7
	PPARGC1A	LEPRE1							RAB8A															TADA2A	FAM83A
	VWA5A	CNN3							CDT1															MLLT6	GSDMC
	SIAE	TNFSF4							RHEBL1															RGS9	PLIN2
	DTX4	LPPR4							TUBA1C															ASPA	PTGES
	CPT1A	NRP2							CHAF1A															CDK5RAP3	ANKRD1
	MDK	KLF7							TK1															RECQL5	HTR7
	SLC22A18	ELOVL4							PBK															PIGL	C11orf73
	EXPH5	SGIP1							COPS6															CAMTA2	INTS4
	PPM1H	CTGF							HIST1H1E															HOXB6	MPZL2
	MANSC1	PKD2							MPLKIP															ENO3	ALDOA
	ALDH2	SPP1							DTYMK															RAI1	HMGA2
	RASAL1	KLF12							RFWD3															SLC6A4	ANXA8L1
	TBC1D30	PGF							FEN1															KAT2A	CWC15
	RAB5B	CCDC176							CKAP2L															EZH1	UBC
	APOBEC1	NEK9							BUB1															LUC7L3	CCRN4L
	PRKAB1	IRF2BPL							STRA13															DPH1	ENKUR
	KIAA0528	LTBP2							RAC3															WSB1	BTBD11
	FRK	TGFB3							RP11-423H2.1															MYH3	TEX30
	ICK	GPR68							CDK1															IFT20	EXT2
	COL9A1	RHOQ							BOP1															PHF12	ADAM17
	ALDH5A1	CNRIP1							CDCA4															TBC1D19	HOMER1
	KIAA1244	PLXDC2							SHCBP1															CLNK	MED21
	KIAA0240	ENOX1							RHNO1															LRP2BP	CDYL
	C6orf108	TGFBI							CTPS1															FNBP4	CAST
	GMDS	GLT8D2							RRM2															CRTAM	TMPRSS11D
	CLIC5	NFYB							PPIH															B3GAT1	TRIP12
	PRSS16	PDLIM2							THOP1															CHORDC1	HS3ST3A1
	MEP1A	TRIM6							CYCS															CEP164	C16orf74
	NUDT12	ADCY7							C5orf34															KIAA1377	PITPNC1
	HMGCS1	TSHZ3							ZNF131															ACCS	PPP4R1
	DAP	KCNJ8							POP7															NAA40	PI4K2A
	HMGCR	PDZRN3							CTU2															ELMOD1	HSPA13
	CLINT1	POPDC2							EXO1															PRPF40B	TMEM237
	BTNL8	BAI2							ZWILCH															CAPRIN2	SLC26A2
	PRLR	PIK3CA							UBE2C															PRR4	RAET1L
	HGD	CSMD2							CKAP5															PARP11	ADK
	RBP2	GTDC1							CCNE2															ACAD10	BACH1
	LRRC31	BBS9							RPS6KB2															GSG1	PDE6D
	HES1	SEPT7							RMI2															DDX55	NRG1
	HYAL1	KLHL7							ATAD5															ATN1	FMNL2
	HHLA2	FAM126A							LMNB2															NANOG	NCK1
	PODXL2	INHBA							TYMS															PHC1	FAM46B
	SCAP	TWIST1							GSG2															RP11-22B23.1	CDA
	CCDC48	RECK							AGTRAP															SLC26A8	STC1
	ABHD14B	CALD1							GEN1															GPLD1	VMA21
	PLCH1	NUDT10							FAM220A															FAM120B	HSF2BP
	VIPR1	PLAU							EXOSC4															CUL9	SHKBP1
	CLCN2	CHST3							AURKB															FBRSL1	TAOK1
	SLC35F5	BICC1							PUF60															CEP72	SHC1
	EPB41L5	EGR2							RCC1															PAPD7	AP2M1
	REEP6	RASSF8							HIST1H2BC															APBB3	DUSP14
	SPTBN1	SSPN							HIST3H2A															CLK4	FDXR
	GALNT3	ACOT9							FANCB															GRM6	ZNF281
	SLC9A2	MMP19							GINS3															DROSHA	SLAMF9
	MLPH	PDE1B							HIST2H4B															TCERG1	FCRLB
	CNPPD1	LRP1							KPNA2															CLDN16	FCGR3B
	PROC	COL10A1							HIST1H3I															NPHP3	IER5
	ORC2	NRK							HIST1H2AJ															C3orf52	SMC6
	PARD3B	TNFAIP6							GPR19															ABTB1	IVL
	SCP2	BATF3							HIST2H2AA3															UPK1B	SPRR3
	RALGPS2	SLC12A4							TRAIP															KIAA1257	S100A9
	QSOX1	SNAI1							HIST2H4A															HEMK1	TGFA
	KIAA1324	NAGK							HIST2H2AB															ACVR2B	CLDN1
	KCNC4	F13A1							HIST1H2AK															DNAH1	ARPC2
	TRIM62	HIST1H1A							HIST1H1B															NKTR	IFI16
	RHOU	ATXN1							CDCA2															SLC4A3	PTX3
	C1orf21	RUNX2							HIST2H2BE															INO80D	PCOLCE2
	SLC35D1	HS3ST3B1							HIST1H2AH															KANSL3	PPBP
	AGMAT	OPRL1							PIGW															DNAJC27	RYK
	KIF21B	NRSN2							HIST1H2BL															ASB3	SLC4A1AP
	SSX2IP	LAMP5							PRMT3															PCSK4	DUSP7
	GBP3	ST3GAL3							PARPBP															TTC31	ITGA2
	TSPAN1	L3HYPDH							SLC52A2															ELMOD3	ZNF474
	FAAH	PLA2G5							KIF18B															EHBP1	WDR41
	ABCD3	MACF1							SAPCD2															PLCD4	ARSK
	SLC35A3	TNFRSF19							KIF24															ZNF142	UBLCP1
	MARC2	GNG11							HYAL3															PASK	IL31RA
	SLC5A9	HIP1							ERCC6L															SOS1	STK17A
	MUC5B	SPECC1							FANCA															AAK1	FZD6
	A4GNT	FLNC							HIST1H1C															TIA1	NFIL3
	TREH	CALU							H2AFX															ATP6V1B1	ANXA8
